[2022.05.29 03:24:49:300] *****************SIP STACK START***************** [inst: 2556]
[2022.05.29 03:24:49:327] EVENT,create dir C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\ {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:337] EVENT,set iswsptrt30 to 4 autotransportdetect=no usetunneling=0 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:338] EVENT, upper server set9 to    {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:339] EVENT,cannot ReadCookie 'netscape.javascript.JSObject netscape.javascript.JSObject.getWindow(java.applet.Applet)' {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:339] EVENT,read config file (0) C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\u89wpcfgex.dat {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:339] EVENT,common initialized {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:339] EVENT,common initialized1 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:340] EVENT,apicall API_SetParameter loglevel,5 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:340] EVENT,      set parameter (from 6) loglevel=5 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:343] EVENT,async task start MATASK_COMMONINIT2 (false/0//) {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:343] EVENT,param loglevel set to 5 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:343] EVENT,apicall API_SetParameter logtoconsole,false [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:343] EVENT,serveraddrlst2: a (170):  b:  c:  d:  e:  f:  g:  h:  i:  j:  {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:343] EVENT,      set parameter (from 6) logtoconsole=false {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:345] EVENT,param logtoconsole set to false [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:345] EVENT,apicall API_SetParameter polling,3 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:345] EVENT,      set parameter (from 6) polling=3 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:346] EVENT,param polling set to 3 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:359] EVENT,apicall API_SetParameter startsipstack,1 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:360] EVENT,      set parameter (from 6) startsipstack=1 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:360] EVENT,param startsipstack set to 1 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:364] EVENT,apicall API_SetParameter register,0 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:364] EVENT,      set parameter (from 6) register=0 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:367] EVENT, register parameter should not be set at runtime {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:367] EVENT,param register set to 0 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:368] EVENT,apicall API_SetParameter serveraddress,172.20.10.2:1049 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:368] EVENT,      set parameter (from 6) serveraddress=172.20.10.2:1049 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:537] EVENT,temp primary address is 192.168.1.21 {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:538] EVENT,serveraddrlst12: a (102):  b: 172.20.10.2:1049 c:  d:  e:  f:  g:  h:  i:  j:  {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:539] EVENT,temp network interface address is 127.0.0.1 (with server: 172.20.10.2) {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:539] EVENT,serveraddrlst2: a (3542):  b: 172.20.10.2:1049 c:  d:  e:  f:  g:  h:  i:  j:  {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:544] EVENT,serveraddrlst12: a (3542):  b: 172.20.10.2:1049 c:  d:  e:  f:  g:  h:  i:  j:  {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:544] EVENT,temp network interface address is 192.168.1.21 (with server: 172.20.10.2) {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:554] EVENT,localhost ip changed from  to 192.168.1.21 by: 2 check: true {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:556] EVENT, network addr set to 192.168.1.21 {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:557] EVENT, network addr2 set to 192.168.1.21 {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:557] EVENT,async task MATASK_COMMONINIT2 finished in 208 msec with 0 (false/0//) {thread: 21} [inst: 2556]
[2022.05.29 03:24:49:557] EVENT,param serveraddress set to 172.20.10.2:1049 [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:557] EVENT,apicall API_Start (0 937948189 rst: no) [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:558] EVENT,reg state changed from [not set at init] to [not needed] (-1) from 52 (Not needed) {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:558] EVENT,      get parameter (from 100111) register=0 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:560] EVENT,      get parameter (from 100111) register=0 {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:560] EVENT,no auto register on api_start becauseX -2 (0) [wpmain] {thread: 1} [inst: 2556]
[2022.05.29 03:24:49:566] EVENT,on init [wpmain] {thread: 22} [inst: 2556]
[2022.05.29 03:24:49:569] EVENT,      get parameter (from 100111) loglevel=5 {thread: 22} [inst: 2556]
[2022.05.29 03:24:49:570] EVENT, wpapiconnectport set to m1 19421 [wpmain] {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:114] EVENT,environment: 
 	app version: 8.6.22014 2/8/2022 08:59:28
	branch: 3 JVoIP 
	libconfig: sdk jvoip desktop webphone 
	sysenv process: cmd: false, headless: false, gui: true, standalone: false
	sysenv OS: name: Windows 10 , arch: amd64 , vers: 10.0 , patch: - , type: x64 
	sysenv CPU: little amd64  cpuspeed: 9000 (meassured: 0 0) cores: 4 dbg: 
	sysenv JVM: Eclipse Adoptium OpenJDK Runtime Environment 17 
	sysenv USR: US en Africa/Cairo Mayar Moawad   DESKTOP-G2CP75S C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject 
	sysenv path: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject, datapath: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata, configfile: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\u89wpcfg.dat, logfile: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\webphonelog.dat, ext: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\, alt: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\, from: 4853  a C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\u89wpcfg.dat
	domain: C:, host: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject, url: C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject, lib: C:\Users\Mayar Moawad\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_17.0.0.v20211012-1059\jre\bin
	toolkit: sun.awt.windows.WToolkit@6a6d4ec5
	sysenv charsrt: windows-1252
	deviceid: pIYhqBqY
 [wpmain] {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:394] EVENT,JVoIP init (from  0 loglevel is 5) [wpmain] {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:397] EVENT, set server load: 1 {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:398] EVENT,read config file (0) C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\u89wpcfg.dat {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:401] EVENT,read config file (0) C:\Users\Mayar Moawad\Desktop\VOIP SUBMISSION PROJECT\voipProject\mwphonedata\u116wpcfg.dat {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:405] EVENT,config not found [wpmain] {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:407] EVENT,delete old config files {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:408] EVENT,      get parameter (from 100111) serveraddress=172.20.10.2:1049 {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:456] EVENT,      get parameter (from 100111) startsipstack=1 {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:458] EVENT,      get parameter (from 100111) register=0 {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:464] EVENT,serveraddrlst2: a (75149):  b: 172.20.10.2:1049 c:  d:  e:  f:  g:  h:  i:  j:  {thread: 22} [inst: 2556]
[2022.05.29 03:24:50:465] EVENT, turn off rtp stun on lan a 172.20.10.2 {thread: 22} [inst: 2556]
